date,channel,impression,clicks,spend,attributed_revenue
2025-06-18,TikTok,1436919,21022,10642.17,29126.26
2025-06-19,Facebook,1360823,18235,13354.41,34858.14
2025-06-19,Google,2246642,96462,14585.59,44013.2
2025-06-19,TikTok,1210604,17705,10278.23,28628.43
2025-06-20,Facebook,1708920,24007,16498.93,43998.05
2025-06-20,Google,1767795,74684,11194.77,31827.28
2025-06-20,TikTok,1185619,17412,10418.17,28465.49
2025-06-21,Facebook,1561667,21346,17520.079999999998,44413.67
2025-06-21,Google,1610433,69854,10944.34,30536.44
2025-06-21,TikTok,1256031,19137,9945.17,27351.86
2025-06-22,Facebook,1694355,23666,16651.55,41656.33
2025-06-22,Google,2142436,92815,13598.78,39570.68
2025-06-22,TikTok,1312919,20016,9335.960000000001,27163.47
2025-06-23,Facebook,1736733,23673,14888.76,37603.33
2025-06-23,Google,1582123,63727,11066.67,32916.090000000004
2025-06-23,TikTok,1629899,24932,15179.230000000001,41478.12
2025-06-24,Facebook,1653992,22541,15737.04,39331.44
2025-06-24,Google,1605565,68460,9858.34,29965.54
2025-06-24,TikTok,1505915,23051,11992.62,34571.43
2025-06-25,Facebook,1658971,23097,15734.609999999999,42196.87
2025-06-25,Google,2063561,88788,14450.46,47036.8
2025-06-25,TikTok,1080890,16050,8081.62,22469.68
2025-06-26,Facebook,1461734,19538,13797.25,36198.229999999996
2025-06-26,Google,2079988,85728,15417.36,46005.64
2025-06-26,TikTok,1276814,18938,9802.369999999999,27582.26
2025-06-27,Facebook,1445469,19381,14267.710000000001,36102.32
2025-06-27,Google,1658618,66652,10039.64,28063.48
2025-06-27,TikTok,1264359,19205,11945.550000000001,32975.26
2025-06-28,Facebook,1785053,23356,17947.2,45216.45
2025-06-28,Google,2088261,86547,14417.68,49269.83
2025-06-28,TikTok,1809910,27333,12694.98,38506.369999999995
2025-06-29,Facebook,2089409,28595,19311.25,52999.55
2025-06-29,Google,1892155,80572,13332.76,41043.03
2025-06-29,TikTok,1367842,20542,9595.75,26933.43
2025-06-30,Facebook,1882478,25296,21399.47,55432.32
2025-06-30,Google,1753437,71689,11968.99,37155.42
2025-06-30,TikTok,1598160,24422,13590.65,41092.24
2025-07-01,Facebook,1741212,24606,18374.68,49475.450000000004
2025-07-01,Google,1957760,82638,11998.06,37314.96
2025-07-01,TikTok,1438124,21571,11725.470000000001,33575.58
2025-07-02,Facebook,2129652,28422,19072.62,49851.64
2025-07-02,Google,2079780,88112,12122.24,39133.58
2025-07-02,TikTok,1588600,23083,10500.02,28829.26
2025-07-03,Facebook,1850411,24597,17783.62,42724.24
2025-07-03,Google,1871950,81819,12713.03,39845.99
2025-07-03,TikTok,1732403,25618,14076.66,39714.45
2025-07-04,Facebook,1904949,26231,19510.89,49233.020000000004
2025-07-04,Google,2074134,79649,17488.64,53698.79
2025-07-04,TikTok,1364363,20440,9890.59,26587.54
2025-07-05,Facebook,1921192,26068,20427.93,53960.49
2025-07-05,Google,2359451,97430,14788.59,42883.36
2025-07-05,TikTok,1562762,23686,11148.25,32691.0
2025-07-06,Facebook,2368672,30615,23686.45,61835.55
2025-07-06,Google,1810593,74081,11757.08,35238.229999999996
2025-07-06,TikTok,1743805,25383,13325.52,36171.13
2025-07-07,Facebook,2211358,29149,20295.329999999998,52892.97
2025-07-07,Google,3227721,130245,19340.93,58713.69
2025-07-07,TikTok,1405878,20475,13018.58,37073.29
2025-07-08,Facebook,1823033,23795,17916.45,47185.84
2025-07-08,Google,2244837,86921,14617.710000000001,43017.63
2025-07-08,TikTok,1682569,25345,15477.46,44921.51
2025-07-09,Facebook,2300391,31138,23495.88,61887.28
2025-07-09,Google,2715398,114691,19028.53,57852.39
2025-07-09,TikTok,1563164,23457,12996.57,37352.54
2025-07-10,Facebook,2333249,31123,22159.26,60253.23
2025-07-10,Google,1956084,81186,12575.11,40044.33
2025-07-10,TikTok,1431939,20830,11448.98,32976.84
2025-07-11,Facebook,1950544,27358,21882.49,56744.92
2025-07-11,Google,2129435,86964,12820.15,40492.45
2025-07-11,TikTok,1388343,20651,11460.52,31256.16
2025-07-12,Facebook,2009518,26083,19339.989999999998,50197.09
2025-07-12,Google,1873949,79761,11643.8,33516.03
2025-07-12,TikTok,1640271,24925,14384.43,36143.34
2025-07-13,Facebook,2034295,27200,19532.52,50491.08
2025-07-13,Google,1874869,80222,12412.5,38499.84
2025-07-13,TikTok,1530705,22595,12727.27,35748.99
2025-07-14,Facebook,1545635,20327,17015.66,45570.75
2025-07-14,Google,2050862,92397,16004.14,48624.380000000005
2025-07-14,TikTok,1671695,26045,13786.76,40391.25
2025-07-15,Facebook,1724724,24106,18405.94,47891.92
2025-07-15,Google,1898287,82350,13287.130000000001,38033.76
2025-07-15,TikTok,1164489,17217,10333.560000000001,28116.6
2025-07-16,Facebook,1745777,23081,20115.21,53110.75
2025-07-16,Google,1931654,83173,13415.82,42842.17
2025-07-16,TikTok,1485926,22491,12283.32,35847.28
2025-07-17,Facebook,1678803,23191,14131.09,37636.21
2025-07-17,Google,2187586,91090,11586.85,36572.13
2025-07-17,TikTok,1554938,22394,12016.52,35596.16
2025-07-18,Facebook,1534570,21712,15989.55,43816.67
2025-07-18,Google,1682464,67484,11306.27,32844.75
2025-07-18,TikTok,1436007,21623,11981.77,33760.6
2025-07-19,Facebook,1808064,24340,14972.630000000001,38593.86
2025-07-19,Google,1462529,63137,10143.73,31839.61
2025-07-19,TikTok,1442343,20522,9296.41,25918.33
2025-07-20,Facebook,1590908,21815,12240.75,32723.329999999998
2025-07-20,Google,1954807,83660,13674.39,44067.72
2025-07-20,TikTok,1179992,16920,10689.41,31478.86
2025-07-21,Facebook,1749181,24563,18395.13,48575.81
2025-07-21,Google,1955419,84433,11727.03,34633.7
2025-07-21,TikTok,1513163,22708,13100.2,36183.91
2025-07-22,Facebook,1870222,24855,16798.09,44164.64
2025-07-22,Google,1628947,67408,12243.45,35870.01
2025-07-22,TikTok,1100616,16262,8777.25,25759.25
2025-07-23,Facebook,1908589,25923,20631.82,51129.87
2025-07-23,Google,1864082,76186,14130.61,45597.93
2025-07-23,TikTok,1701017,26030,14197.849999999999,39337.83
2025-07-24,Facebook,1508352,20410,14050.72,36426.229999999996
2025-07-24,Google,1744942,75651,10346.03,31629.6
2025-07-24,TikTok,1226688,18741,9472.53,25924.73
2025-07-25,Facebook,1661436,22804,17687.19,47385.08
2025-07-25,Google,1484740,59116,9043.93,26500.05
2025-07-25,TikTok,1597281,24964,14641.779999999999,43744.5
2025-07-26,Facebook,1542052,20804,16849.49,43196.41
2025-07-26,Google,2162961,88703,13818.11,43613.04
2025-07-26,TikTok,1555648,23187,11800.78,33912.36
2025-07-27,Facebook,1566093,21829,15119.810000000001,38783.64
2025-07-27,Google,2204166,92606,14803.539999999999,44591.380000000005
2025-07-27,TikTok,1566799,22858,14056.78,39454.67
2025-07-28,Facebook,1516926,21005,14419.25,39901.76
2025-07-28,Google,1926328,80970,10334.529999999999,33888.26
2025-07-28,TikTok,1507242,23090,12876.519999999999,37973.020000000004
2025-07-29,Facebook,1657603,22358,17704.5,45813.869999999995
2025-07-29,Google,2552896,100877,13776.22,41454.03
2025-07-29,TikTok,1362162,20428,12767.76,36289.81
2025-07-30,Facebook,1903918,27813,20031.65,53555.43
2025-07-30,Google,2787427,103503,16233.23,46623.700000000004
2025-07-30,TikTok,1598117,24046,14315.619999999999,40563.28
2025-07-31,Facebook,1642780,22175,16018.810000000001,42095.08
2025-07-31,Google,1957089,83750,12695.06,39192.92
2025-07-31,TikTok,1713351,25082,14668.65,41876.0
2025-08-01,Facebook,1920352,26285,17844.63,46127.950000000004
2025-08-01,Google,2514215,106730,15003.439999999999,49191.119999999995
2025-08-01,TikTok,1393400,20532,11350.15,31410.32
2025-08-02,Facebook,2083450,28332,19858.08,54411.88
2025-08-02,Google,1848330,73331,13443.39,38593.28
2025-08-02,TikTok,1564400,22905,14088.18,39504.57
2025-08-03,Facebook,2087448,28556,19562.3,53383.49
2025-08-03,Google,2381422,99802,16892.510000000002,49576.8
2025-08-03,TikTok,1700182,26315,12758.56,35232.4
2025-08-04,Facebook,1999573,26329,21895.510000000002,57630.16
2025-08-04,Google,2004196,82957,12878.33,38206.73
2025-08-04,TikTok,1461145,22042,12405.01,35311.58
2025-08-05,Facebook,2120173,28275,19942.129999999997,51199.83
2025-08-05,Google,2175546,88132,12555.55,38635.35
2025-08-05,TikTok,1770454,26344,14788.460000000001,41997.840000000004
2025-08-06,Facebook,1585076,21282,16557.07,44660.35
2025-08-06,Google,2356034,102010,15327.16,47043.159999999996
2025-08-06,TikTok,1565804,23302,11159.48,30280.55
2025-08-07,Facebook,1979371,26965,19098.25,49565.83
2025-08-07,Google,2561678,108848,15094.17,45719.02
2025-08-07,TikTok,1539238,23715,11821.02,35591.159999999996
2025-08-08,Facebook,1961928,26731,17118.41,44427.4
2025-08-08,Google,2848294,117837,19077.16,57651.71
2025-08-08,TikTok,1389753,21920,10985.71,32464.43
2025-08-09,Facebook,1958863,25435,18108.440000000002,45671.56
2025-08-09,Google,2644718,114677,14241.63,44477.4
2025-08-09,TikTok,1881746,29118,16057.75,47404.740000000005
2025-08-10,Facebook,2145238,29113,18290.04,49652.270000000004
2025-08-10,Google,2646302,104264,16759.25,49299.99
2025-08-10,TikTok,1513379,22490,12221.6,35469.12
2025-08-11,Facebook,1980138,26575,18918.21,50302.98
2025-08-11,Google,2243747,92924,14901.02,46655.56
2025-08-11,TikTok,1604394,23016,14531.24,38158.07
2025-08-12,Facebook,1688562,23134,16763.48,41902.26
2025-08-12,Google,2289787,95917,13295.619999999999,37862.78
2025-08-12,TikTok,1370597,20757,11255.45,34468.89
2025-08-13,Facebook,1796520,24859,18600.75,46679.13
2025-08-13,Google,2132541,90143,14619.19,43946.729999999996
2025-08-13,TikTok,1595513,24112,9735.539999999999,27350.620000000003
2025-08-14,Facebook,1782552,23550,16135.29,40324.5
2025-08-14,Google,2022396,83124,10537.73,33388.12
2025-08-14,TikTok,1211457,18053,9602.3,26076.86
2025-08-15,Facebook,1698845,22892,16339.65,42318.66
2025-08-15,Google,1678996,66928,9082.28,25499.46
2025-08-15,TikTok,1608255,23691,10273.220000000001,27227.449999999997
2025-08-16,Facebook,1869251,24713,19140.54,50540.32
2025-08-16,Google,2405929,95850,16214.8,48044.82
2025-08-16,TikTok,1580144,24220,13103.79,39692.16
2025-08-17,Facebook,2001714,26523,21723.41,55962.9
2025-08-17,Google,2242408,96633,16946.43,56723.08
2025-08-17,TikTok,1485591,22773,10569.45,30217.87
2025-08-18,Facebook,1626882,22280,17311.55,41185.69
2025-08-18,Google,1928365,76836,10404.14,33216.71
2025-08-18,TikTok,1258750,18932,9087.12,27699.649999999998
2025-08-19,Facebook,1524275,20832,14727.51,38865.81
2025-08-19,Google,1712526,68713,11122.48,38125.55
2025-08-19,TikTok,1444683,21790,11804.92,34046.82
2025-08-20,Facebook,1729817,23241,16854.34,44156.0
2025-08-20,Google,1531860,63011,10790.98,33861.61
2025-08-20,TikTok,1498384,22731,12245.19,34807.01
2025-08-21,Facebook,1640148,22031,14563.16,38568.53
2025-08-21,Google,1656301,71731,10501.51,31373.47
2025-08-21,TikTok,1459730,22037,12138.32,34699.65
2025-08-22,Facebook,1399202,19916,13805.38,38691.659999999996
2025-08-22,Google,1899886,78020,11188.08,35943.11
2025-08-22,TikTok,1561090,24264,11428.189999999999,32985.869999999995
2025-08-23,Facebook,1708137,22369,18540.8,50884.46
2025-08-23,Google,1931683,83544,14331.2,42449.700000000004
2025-08-23,TikTok,1657118,24988,14153.4,40926.18
2025-08-24,Facebook,1655306,21383,18193.56,46830.36
2025-08-24,Google,2391638,99421,16389.41,47170.06
2025-08-24,TikTok,1412766,20822,11148.23,32270.559999999998
2025-08-25,Facebook,1400426,18631,14376.61,39075.6
2025-08-25,Google,2175119,91624,13864.6,40957.94
2025-08-25,TikTok,1324982,19831,11870.89,33878.58
2025-08-26,Facebook,1649785,22040,18172.27,48433.86
2025-08-26,Google,2291469,97219,15748.96,45079.94
2025-08-26,TikTok,1487367,21501,10105.19,28967.11
2025-08-27,Facebook,1641459,22287,13374.79,35646.4
2025-08-27,Google,1741260,73567,12715.19,38760.83
2025-08-27,TikTok,1530789,23221,12947.93,36592.18
2025-08-28,Facebook,1900843,24820,21393.02,55406.54
2025-08-28,Google,2145375,91045,13915.619999999999,42859.75
2025-08-28,TikTok,1543554,23634,12629.8,36262.96
2025-08-29,Facebook,1428391,19497,12985.78,35151.89
2025-08-29,Google,1986055,82561,11075.369999999999,35525.4
2025-08-29,TikTok,1541778,23503,11761.61,32025.78
2025-08-30,Facebook,2053830,29314,18689.95,48980.409999999996
2025-08-30,Google,2040779,83832,14053.24,43779.04
2025-08-30,TikTok,1361530,20318,11392.630000000001,32537.76
2025-08-31,Facebook,1839414,24488,18833.39,49680.91
2025-08-31,Google,1959012,81327,12817.47,40099.86
2025-08-31,TikTok,1912886,28930,13683.22,38267.04
2025-09-01,Facebook,2032689,26458,20136.96,51975.520000000004
2025-09-01,Google,2231394,97146,11399.76,34218.55
2025-09-01,TikTok,1706434,24802,13343.68,36648.35
2025-09-02,Facebook,1885153,25692,19430.95,49909.48
2025-09-02,Google,2690124,105825,19728.61,59329.81
2025-09-02,TikTok,1336778,19984,10516.25,28502.48
2025-09-03,Facebook,2037966,27572,19985.86,50168.58
2025-09-03,Google,2563623,110418,18377.21,54801.73
2025-09-03,TikTok,1570007,22897,13544.74,39124.85
2025-09-04,Facebook,1966255,25836,20912.39,54413.78
2025-09-04,Google,2046818,83687,15055.07,45240.95
2025-09-04,TikTok,1471527,21658,10984.98,31313.98
2025-09-05,Facebook,1652546,22729,14647.44,36924.1
2025-09-05,Google,1979673,79390,14065.79,41191.43
2025-09-05,TikTok,1628153,25244,14222.76,40184.32
2025-09-06,Facebook,2365251,32843,23879.52,60179.58
2025-09-06,Google,2059487,82724,12625.88,39103.71
2025-09-06,TikTok,1819561,27985,15347.7,42614.26
2025-09-07,Facebook,2155236,27693,22850.93,60349.55
2025-09-07,Google,2193312,85786,14741.05,46209.81
2025-09-07,TikTok,1955541,28943,16688.67,47712.47
2025-09-08,Facebook,1755006,24757,16444.420000000002,42710.630000000005
2025-09-08,Google,2136741,86427,17078.07,56713.75
2025-09-08,TikTok,1712415,25404,15956.02,43680.4
2025-09-09,Facebook,2109003,29059,21668.12,56526.83
2025-09-09,Google,2644125,110779,14439.6,44599.96
2025-09-09,TikTok,1773415,26879,16163.210000000001,48574.869999999995
2025-09-10,Facebook,1857975,24908,18648.9,47583.92
2025-09-10,Google,2059288,86317,11300.8,34186.57
2025-09-10,TikTok,1554124,24055,11349.46,32703.8
2025-09-11,Facebook,1929203,25768,17829.38,48311.76
2025-09-11,Google,1920235,83578,13380.92,41316.6
2025-09-11,TikTok,1484479,21865,12797.57,36828.37
2025-09-12,Facebook,1954647,26114,19246.12,49420.38
2025-09-12,Google,2286187,94815,15182.4,49050.15
2025-09-12,TikTok,1528333,22089,11147.38,30794.13
